state,county,last_sdx_code,frst_sdx_code,hh_size,treat,treat1overN,treatMoverN,confdr_hh_count,frac_confdr_count_men,confdr_hh_count_1861,confdr_hh_binary_1861,frac_confdr_count_men_1861,confdr_hh_MoverN,confdr_any_MoverN,frac_confdr_MoverN_men,children_size,sons_size,slaves_hh_count,realprop_head,realprop_hsum,confdr_hh_binary,battle_county
Florida,ALACHUA,L1257,F602,10,0,0,0,4,1,4,1,1,4,1,1,7,3,0,0,0,1,0
Florida,ALACHUA,L1599,F376,10,1,1,1,7,1,3,1,0.428571428571429,7,1,1,8,6,0,200,200,1,0
Florida,ALACHUA,L1134,F606,5,0,0,0,2,0.666666666666667,0,0,0,1,0.75,0.333333333333333,1,0,0,500,500,1,0
Florida,ALACHUA,L1105,F606,10,1,1,1,4,0.8,3,1,0.6,4,1,0.8,6,4,3,2000,2000,1,0
Florida,ALACHUA,L0783,F656,13,0,0,0,9,0.9,2,1,0.2,9,1,0.9,10,8,0,0,0,1,0
Florida,ALACHUA,L1234,F351,9,0,0,0,3,0.6,1,1,0.2,3,1,0.6,6,3,0,0,0,1,0
Florida,ALACHUA,L1518,F194,8,0,0,0,4,0.666666666666667,2,1,0.333333333333333,4,1,0.666666666666667,6,5,0,0,0,1,0
Florida,ALACHUA,L0498,F376,7,0,0,0,2,1,2,1,1,2,1,1,4,1,0,0,0,1,0
Florida,ALACHUA,L0468,F024,13,0,0,0,0,0,0,0,0,0,0,0,10,5,0,1500,1500,0,0
Florida,ALACHUA,L0988,F024,5,1,1,1,2,1,2,1,1,2,1,1,2,1,3,300,300,1,0
Florida,ALACHUA,L0190,F024,9,0,0.333333333333333,0.333333333333333,5,0.833333333333333,1,1,0.166666666666667,5,1,0.833333333333333,5,3,13,1200,1200,1,0
Florida,ALACHUA,L1123,F602,9,0,0,0,4,0.666666666666667,1,1,0.166666666666667,4,1,0.666666666666667,5,4,0,0,0,1,0
Florida,ALACHUA,L1059,F351,4,0,0,0,2,1,2,1,1,2,1,1,1,0,0,0,0,1,0
Florida,ALACHUA,L0021,F648,10,0,0,0,2,0.666666666666667,1,1,0.333333333333333,2,1,0.666666666666667,6,2,1,1000,1000,1,0
Florida,ALACHUA,L0006,F468,9,0,0,0,6,1,2,1,0.333333333333333,5,1,0.833333333333333,5,4,0,400,400,1,0
Florida,ALACHUA,L0021,F351,11,0,0,0,4,1,3,1,0.75,4,1,1,8,3,0,0,0,1,0
Florida,ALACHUA,L0782,F077,11,0,0.5,0.5,5,1,5,1,1,4.33333333333333,1,0.866666666666667,6,3,9,500,500,1,0
Florida,ALACHUA,L0438,F376,11,0,0.0833333333333333,1,1,0.166666666666667,1,1,0.166666666666667,0.5,0.5,0.0833333333333333,8,4,6,1200,1200,1,0
Florida,ALACHUA,L0042,F876,3,1,1,1,2,1,2,1,1,2,1,1,2,1,3,0,0,1,0
Florida,ALACHUA,L1105,F468,6,0,0.166666666666667,0.833333333333333,2,1,1,1,0.5,2,1,1,3,1,0,0,0,1,0
Florida,ALACHUA,L0986,F169,9,0,0,0,5,1,0,0,0,4.33333333333333,1,0.866666666666667,4,2,0,0,0,1,0
Florida,ALACHUA,L1124,F169,5,0,0,0,2,0.666666666666667,0,0,0,2,1,0.666666666666667,1,0,10,800,800,1,0
Florida,ALACHUA,L0448,F132,11,1,1,1,6,0.857142857142857,2,1,0.285714285714286,6,1,0.857142857142857,9,6,0,0,0,1,0
Florida,BENTON,L1439,F376,8,0,0,0,4,1,1,1,0.25,4,1,1,4,2,0,300,300,1,0
Florida,BENTON,L1252,F471,4,0,0,0,1,0.5,1,1,0.5,1,1,0.5,1,0,0,0,0,1,0
Florida,BENTON,L1306,F372,9,0,0,0,4,1,3,1,0.75,4,1,1,6,3,0,1000,1000,1,0
Florida,CALHOUN,L0512,F281,11,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
Florida,CALHOUN,L1305,F468,5,0,0,0,1,0.25,0,0,0,0.333333333333333,0.333333333333333,0.0833333333333333,1,1,0,0,0,1,0
Florida,CALHOUN,L0297,F104,11,0,0,0,2,1,0,0,0,2,1,1,3,0,0,0,0,1,0
Florida,CALHOUN,L0955,F376,11,0,0,0,6,0.857142857142857,3,1,0.428571428571429,5,1,0.714285714285714,6,3,36,0,0,1,0
Florida,COLUMBIA,L1361,F277,10,0,0,0,2,0.333333333333333,0,0,0,2,1,0.333333333333333,6,3,2,1000,1000,1,0
Florida,COLUMBIA,L1162,F032,8,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0
Florida,COLUMBIA,L0457,F024,3,0,0,0,1,0.5,0,0,0,1,1,0.5,1,1,7,0,0,1,0
Florida,COLUMBIA,L0093,F376,11,0,0,0,7,1,2,1,0.285714285714286,7,1,1,5,2,0,1000,1000,1,0
Florida,COLUMBIA,L1596,F716,11,0,0,0,5,0.714285714285714,1,1,0.142857142857143,4,1,0.571428571428571,6,4,0,0,0,1,0
Florida,COLUMBIA,L0456,F336,11,0,0,0,6,1,2,1,0.333333333333333,5,1,0.833333333333333,7,5,0,0,0,1,0
Florida,COLUMBIA,L1501,F035,8,0,0,0,3,0.75,2,1,0.5,3,1,0.75,6,3,0,0,0,1,0
Florida,COLUMBIA,L1082,F376,16,0,0,0,7,0.7,3,1,0.3,7,1,0.7,12,8,0,0,0,1,0
Florida,COLUMBIA,L0031,F063,10,0,0.25,0.25,7,1,5,1,0.714285714285714,7,1,1,8,6,0,1000,1000,1,0
Florida,COLUMBIA,L0031,F148,7,1,1,1,4,0.8,3,1,0.6,4,1,0.8,2,2,2,2000,2000,1,0
Florida,COLUMBIA,L1449,F805,9,0,0,0,6,1,5,1,0.833333333333333,6,1,1,5,4,0,0,0,1,0
Florida,COLUMBIA,L0975,F055,11,0,0.166666666666667,0.833333333333333,6,0.857142857142857,6,1,0.857142857142857,6,1,0.857142857142857,6,4,13,3000,4000,1,0
Florida,COLUMBIA,L1149,F608,11,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0
Florida,COLUMBIA,L1529,F468,9,1,1,1,6,0.857142857142857,4,1,0.571428571428571,6,1,0.857142857142857,2,2,15,1000,1000,1,0
Florida,COLUMBIA,L0091,F024,6,0,0.333333333333333,0.333333333333333,3,1,3,1,1,2.5,1,0.833333333333333,5,2,0,0,0,1,0
Florida,COLUMBIA,L0703,F468,10,0,0,0,0,0,0,0,0,0,0,0,6,3,0,500,500,0,0
Florida,COLUMBIA,L0822,F301,13,0,0,0,7,1,6,1,0.857142857142857,7,1,1,7,3,3,1500,1500,1,0
Florida,COLUMBIA,L0438,F780,7,0,0.333333333333333,0.333333333333333,1,0.25,1,1,0.25,0.5,0.5,0.125,3,2,0,0,0,1,0
Florida,COLUMBIA,L0822,F167,11,1,1,1,4,1,4,1,1,4,1,1,9,3,2,0,0,1,0
Florida,COLUMBIA,L0423,F468,6,1,1,1,4,1,3,1,0.75,4,1,1,4,3,0,0,0,1,0
